"","X","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"1",1,1,"LeBron James",271.4,"2003-04","2024-25","19-40",1562,21,37.8,9.9,19.6,8.3,14.9,1.6,4.7,5.5,7.5,1.2,6.4,7.5,7.4,1.5,0.7,3.5,1.8,27,0.506,0.556,0.349,0.737,0.59,0.548,"F-G","CLE,LAL,MIA",116,105,187.8,83.6,0.221,6.9,1.7,8.5,156.6,26.9,3.6,18.9,11.4,36.5,2,1.6,13.3,31.5,4,1,0,0,0,4,3,13,4,4,5,1,1,4,0
"2",3,3,"Chris Paul",215.1,"2005-06","2024-25","20-39",1354,12,33.7,6,12.8,4.6,9.1,1.4,3.7,3.6,4.1,0.6,3.8,4.4,9.2,2,0.2,2.3,2.4,17,0.47,0.51,0.37,0.871,0.581,0.523,"G","GSW,HOU,LAC,NOH,NOK,OKC,PHO,SAS",123,107,155.3,59.8,0.226,4.6,2,6.6,98.9,23.5,2,12.9,7.5,44.1,3.1,0.4,13.5,22.7,0,1,0,0,0,0,1,4,5,2,7,2,1,2,0
"3",12,12,"Kevin Durant",175.4,"2007-08","2024-25","19-36",1123,15,36.7,9.4,18.7,7.4,13.7,2,5,6.5,7.4,0.7,6.3,7,4.4,1,1.1,3.2,1.9,27.2,0.502,0.543,0.39,0.882,0.62,0.554,"F-G","BRK,GSW,OKC,PHO,SEA",118,107,124.9,50.5,0.204,5.8,0.6,6.4,87.6,24.8,2.1,18.5,10.6,20.6,1.4,2.5,12.6,30.1,1,1,0,0,0,2,2,6,5,0,0,0,1,4,0
"4",13,13,"James Harden",174.7,"2009-10","2024-25","20-35",1151,11,34.8,7.1,16.2,4.3,8.6,2.8,7.6,7.1,8.2,0.8,4.9,5.6,7.2,1.5,0.6,3.7,2.5,24.1,0.439,0.507,0.363,0.861,0.608,0.525,"G","BRK,HOU,LAC,OKC,PHI",118,108,127.8,46.9,0.21,5.5,0.8,6.3,84.2,23.7,2.5,15.4,9,34.2,2.1,1.4,15.8,29.4,1,0,0,1,0,0,0,6,0,2,0,0,1,1,0
"5",24,24,"Stephen Curry",143.1,"2009-10","2024-25","21-36",1026,11,34.1,8.4,17.9,4.5,8.5,4,9.3,3.9,4.3,0.7,4,4.7,6.4,1.5,0.3,3.1,2.3,24.7,0.471,0.524,0.423,0.911,0.625,0.582,"G","GSW",118,109,103.8,39.3,0.196,6.2,0.2,6.5,74.7,23.5,2.1,12.7,7.5,30.8,2.2,0.6,13.6,29,2,0,0,0,0,1,2,4,5,2,0,0,1,1,0
"6",30,30,"Nikola Jokic",128,"2015-16","2024-25","20-29",745,7,31.7,8.4,15,7.3,11.9,1.1,3,3.9,4.8,2.7,8.3,10.9,7.2,1.3,0.7,2.9,2.7,21.8,0.56,0.611,0.36,0.824,0.638,0.596,"C-F","DEN",126,108,93,35,0.26,7.3,3,10.3,73.3,28.5,9.5,28.6,19.2,37.2,2,2,14.6,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",34,34,"Shawn Marion",124.9,"1999-00","2014-15","21-36",1163,4,34.5,6.3,12.9,5.6,10.9,0.7,2.1,2,2.5,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2,0.484,0.513,0.331,0.81,0.542,0.51,"F","CLE,DAL,MIA,PHO,TOR",110,102,63.6,61.3,0.15,1.7,1,2.7,47.6,18.8,7.8,20.5,14.3,9.1,2.3,2.2,9.7,20.4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"8",35,35,"Jimmy Butler",123.7,"2011-12","2024-25","22-35",869,6,33.1,5.9,12.6,5.1,10.2,0.8,2.4,5.7,6.7,1.7,3.7,5.3,4.3,1.6,0.4,1.6,1.4,18.3,0.472,0.506,0.328,0.843,0.59,0.503,"F-G","CHI,GSW,MIA,MIN,PHI",123,108,86.1,37.5,0.206,3.6,1.4,5,50.5,21.7,5.6,12.3,9,21.1,2.4,1.1,9.4,22.9,0,0,0,0,1,0,0,0,1,4,0,5,0,1,0
"9",37,37,"Giannis Antetokounmpo",120.8,"2013-14","2024-25","19-30",859,9,32.9,8.8,15.9,8.1,13.7,0.6,2.2,5.8,8.3,1.9,8.1,9.9,5,1.1,1.2,3,2.9,23.9,0.551,0.594,0.284,0.693,0.611,0.57,"F-G","MIL",118,106,75.9,44.8,0.205,4.5,2.2,6.7,62.4,25.8,6.3,25.9,16.4,26.6,1.7,3.3,13.3,29.8,2,0,1,0,1,1,1,7,2,0,4,1,1,0,0
"10",39,39,"Buck Williams",120.1,"1981-82","1997-98","21-37",1307,3,32.5,4.9,8.9,4.9,8.9,0,0,3,4.6,3.5,6.5,10,1.3,0.8,0.8,2.1,3.3,12.8,0.549,0.55,0.167,0.664,0.587,0.549,"F-C","NJN,NYK,POR",112,104,58.3,61.8,0.136,0,0,0,21.7,15.3,11.8,22.8,17.2,5.5,1.2,1.6,16.3,16.4,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0
