"","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"1",1,"LeBron James",271.4,"2003-04","2024-25","19-40",1562,21,37.8,9.9,19.6,8.3,14.9,1.6,4.7,5.5,7.5,1.2,6.4,7.5,7.4,1.5,0.7,3.5,1.8,27,0.506,0.556,0.349,0.737,0.59,0.548,"F-G","CLE,LAL,MIA",116,105,187.8,83.6,0.221,6.9,1.7,8.5,156.6,26.9,3.6,18.9,11.4,36.5,2,1.6,13.3,31.5,4,1,0,0,0,4,3,13,4,4,5,1,1,4,0
"2",2,"Karl Malone",234.6,"1985-86","2003-04","22-40",1476,14,37.2,9.2,17.8,9.1,17.5,0.1,0.2,6.6,8.9,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25,0.516,0.519,0.274,0.742,0.577,0.518,"F","LAL,UTA",113,101,142.2,92.4,0.205,4.2,0.9,5.1,99,23.9,7.9,23.5,16,17.6,1.9,1.5,12.4,29.4,2,0,0,0,0,0,2,11,2,1,3,1,1,2,1
"3",3,"Chris Paul",215.1,"2005-06","2024-25","20-39",1354,12,33.7,6,12.8,4.6,9.1,1.4,3.7,3.6,4.1,0.6,3.8,4.4,9.2,2,0.2,2.3,2.4,17,0.47,0.51,0.37,0.871,0.581,0.523,"G","GSW,HOU,LAC,NOH,NOK,OKC,PHO,SAS",123,107,155.3,59.8,0.226,4.6,2,6.6,98.9,23.5,2,12.9,7.5,44.1,3.1,0.4,13.5,22.7,0,1,0,0,0,0,1,4,5,2,7,2,1,2,0
"4",4,"Michael Jordan",214,"1984-85","2002-03","21-39",1072,14,38.3,11.4,22.9,10.8,21.2,0.5,1.7,6.8,8.2,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,0.497,0.51,0.327,0.835,0.569,0.509,"G-F","CHI,WAS",118,103,149.9,64.1,0.25,7.2,2,9.2,116.1,27.9,4.7,14.1,9.4,24.9,3.1,1.4,9.3,33.3,5,1,1,0,0,6,3,10,1,0,9,0,1,2,1
"5",5,"John Stockton",207.7,"1984-85","2002-03","22-40",1504,10,31.8,4.7,9.1,4.1,7.6,0.6,1.5,3.2,3.9,0.6,2.1,2.7,10.5,2.2,0.2,2.8,2.6,13.1,0.515,0.541,0.384,0.826,0.608,0.546,"G","UTA",121,104,142.8,64.9,0.209,4.9,1.9,6.8,106.5,21.8,2.5,7.3,5,50.2,3.5,0.5,20.8,18.9,0,0,0,0,0,0,1,2,6,3,0,5,1,2,1
"6",6,"Tim Duncan",206.4,"1997-98","2015-16","21-39",1392,15,34,7.4,14.6,7.4,14.5,0,0.1,4.2,6.1,2.8,8.1,10.8,3,0.7,2.2,2.4,2.4,19,0.506,0.509,0.179,0.696,0.551,0.507,"F-C","SAS",110,96,100,106.3,0.209,3.3,2.3,5.6,91.1,24.2,9.7,26.5,18.4,16.4,1.1,4.6,12.3,27,2,1,0,0,0,3,1,10,3,2,8,7,1,1,1
"7",7,"Dirk Nowitzki",206.3,"1998-99","2018-19","20-40",1522,14,33.8,7.3,15.6,6,12.2,1.3,3.4,4.8,5.4,1,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7,0.471,0.496,0.38,0.879,0.577,0.512,"F-C","DAL",116,104,143.8,62.6,0.193,4.2,0.4,4.5,84.8,22.4,3.3,21.9,12.7,12.6,1.2,1.9,8.4,26.5,1,0,0,0,0,1,0,4,5,3,0,0,1,0,1
"8",8,"Kevin Garnett",191.4,"1995-96","2015-16","19-39",1462,15,34.5,7.2,14.5,7.1,14,0.1,0.4,3.3,4.2,2.2,7.8,10,3.7,1.3,1.4,2.2,2.4,17.8,0.497,0.504,0.275,0.789,0.546,0.501,"F-C","BOS,BRK,MIN",110,99,99.9,91.5,0.182,3.5,2.1,5.6,96.9,22.7,7.6,26,17,19.3,1.9,3,11.8,24.7,1,0,1,0,0,0,1,4,3,2,9,3,1,1,1
"9",9,"Shaquille O'Neal",181.7,"1992-93","2010-11","20-38",1207,15,34.7,9.4,16.1,9.4,16.1,0,0,4.9,9.3,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7,0.582,0.583,0.045,0.527,0.586,0.582,"C","BOS,CLE,LAL,MIA,ORL,PHO",113,101,115.4,66.4,0.208,4.4,0.7,5.1,75.5,26.4,11.7,23.6,17.8,13.9,0.9,4.6,11.9,29.5,1,1,0,0,0,3,3,8,2,4,0,3,1,1,1
"10",10,"David Robinson",178.7,"1989-90","2002-03","24-37",987,10,34.7,7.5,14.4,7.4,14.3,0,0.1,6.1,8.3,3.1,7.5,10.6,2.5,1.4,3,2.4,2.9,21.1,0.518,0.52,0.25,0.736,0.583,0.519,"C","SAS",116,96,98.5,80.1,0.25,4.4,3.1,7.5,81.9,26.2,10.6,23.4,17.3,12.4,2.1,5.7,11.9,26.2,1,1,1,0,0,0,0,4,2,4,4,4,1,3,1
"11",11,"Charles Barkley",177.2,"1984-85","1999-00","21-36",1073,11,36.7,7.9,14.5,7.4,12.7,0.5,1.9,5.9,8.1,4,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,0.541,0.581,0.266,0.735,0.612,0.558,"F","HOU,PHI,PHO",119,105,123.3,53.9,0.216,5.4,0.8,6.1,80.5,24.6,12.5,23.7,18.2,17.5,2.1,1.4,14.8,24.8,1,0,0,0,0,0,1,5,5,1,0,0,1,2,1
"12",12,"Kevin Durant",175.4,"2007-08","2024-25","19-36",1123,15,36.7,9.4,18.7,7.4,13.7,2,5,6.5,7.4,0.7,6.3,7,4.4,1,1.1,3.2,1.9,27.2,0.502,0.543,0.39,0.882,0.62,0.554,"F-G","BRK,GSW,OKC,PHO,SEA",118,107,124.9,50.5,0.204,5.8,0.6,6.4,87.6,24.8,2.1,18.5,10.6,20.6,1.4,2.5,12.6,30.1,1,1,0,0,0,2,2,6,5,0,0,0,1,4,0
